Methods	RV11	RV12	RV20	RV30	RV40	RV50	Average
Pipelign	0.548656345537928	0.227711191041202	0.250287999167879	0.357351609222881	0.388348022857356	0.409451908179719	0.363634512667827
ClustalOmega	0.545654266178808	0.20284923475294	0.213377465140396	0.271537049674113	0.269910200061392	0.357654478964292	0.31016378246199
ClustalW	0.613175336374003	0.242519370190588	0.264552457602826	0.374534261906896	0.347492514583284	0.429115672696903	0.378564935559083
FFT-NS-2	0.650507399079239	0.26947068723041	0.283647326538197	0.371672225167747	0.433704540376649	0.420757968936129	0.404960024554729
L-INS-i	0.56455482426809	0.223284692845084	0.244974296157183	0.30846028684261	0.371982291322552	0.391701884360806	0.350826379299387
MUSCLE	0.596121081536846	0.22067137845555	0.253686646256373	0.335889690278877	0.401640036087257	0.416342678830227	0.370725251907522
ProbCons	0.589258571060881	0.286557598455971	0.303388997635541	0.414165749373588	0.509612956837499	0.434908854905075	0.422982121378092
T-Coffee	0.598303234995544	0.291026229337531	0.309902607267959	0.419859247136529	0.524001194099646	0.437416832920992	0.4300848909597
